BioSample,Assembly ,variants,Assembly Level,Host Source,Country,Continent,Year,MLST
SAMEA104077105,GCA_017779865.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,38
SAMEA104077106,GCA_017779845.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,38
SAMEA104077107,GCA_017319525.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,127
SAMEA104077109,GCA_017319505.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,131
SAMEA104077428,GCA_017779785.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,410
SAMEA104077429,GCA_017319545.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,131
SAMEA104077432,GCA_017327765.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,131
SAMEA104083447,GCA_017779745.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,10
SAMEA104083448,GCA_017779725.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,401
SAMEA104083449,GCA_017779705.1,blaOXA-244,Contig,Human,Ireland,Europe,2016,1722
SAMEA104083450,GCA_017779675.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,7401
SAMEA104083451,GCA_017319465.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,538
SAMEA104083452,GCA_017779665.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,7400
SAMEA104083453,GCA_017779645.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,69
SAMEA104083454,GCA_017327745.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,12
SAMEA104083455,GCA_017779625.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,155
SAMEA104083456,GCA_017779605.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,1727
SAMEA104083541,GCA_017779585.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,1049
SAMEA104083542,GCA_017319445.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,131
SAMEA104083543,GCA_017779565.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,1049
SAMEA104083544,GCA_017779485.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,349
SAMEA104091834,GCA_018020165.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,1485
SAMEA104091836,GCA_017319405.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,135
SAMEA104165152,GCA_016657205.1,blaOXA-181,Contig,Unknown,Unknown,Unknown,Unknown,617
SAMEA104165260,GCA_016656805.1,blaOXA-181,Contig,Unknown,Unknown,Unknown,Unknown,617
SAMEA104205663,GCA_029702245.1,blaOXA-181,Contig,Human,Italy,Europe,2017,410
SAMEA104289864,GCA_013010425.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,1236
SAMEA104305637,GCA_017779505.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,973
SAMEA104305638,GCA_017779465.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,3056
SAMEA104305640,GCA_017779425.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,216
SAMEA104305641,GCA_017779405.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,7401
SAMEA104305642,GCA_017779385.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,58
SAMEA104305643,GCA_017319425.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,131
SAMEA104305644,GCA_017327725.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,1442
SAMEA104305645,GCA_017779345.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,155
SAMEA104305646,GCA_017779365.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,7696
SAMEA104305647,GCA_017327705.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,12
SAMEA104305648,GCA_017779305.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,46
SAMEA104305649,GCA_017779285.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,58
SAMEA104305650,GCA_017779315.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,1611
SAMEA104305652,GCA_018020135.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,6958
SAMEA104305653,GCA_017327645.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,131
SAMEA104305654,GCA_017779265.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,10
SAMEA104305655,GCA_017319385.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,357
SAMEA104305656,GCA_017327665.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,357
SAMEA104305657,GCA_017327625.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,131
SAMEA104305658,GCA_017327585.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,141
SAMEA104305659,GCA_017779245.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,38
SAMEA104305660,GCA_017779225.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,131
SAMEA104305661,GCA_017779205.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,297
SAMEA104305662,GCA_017779185.1,blaOXA-48,Contig,Human,Ireland,Europe,2017,6178
SAMEA110148482,GCA_944470325.1,blaOXA-181,Contig,Unknown,Unknown,Unknown,Unknown,940
SAMEA110744439,GCA_025823705.1,blaOXA-181,Contig,Animal,Unknown,Unknown,Unknown,5229
SAMEA110744440,GCA_025823645.1,blaOXA-181,Contig,Animal,Unknown,Unknown,Unknown,5229
SAMEA110744441,GCA_025824745.1,blaOXA-181,Contig,Animal,Unknown,Unknown,Unknown,224
SAMEA110744442,GCA_025823445.1,blaOXA-181,Contig,Animal,Unknown,Unknown,Unknown,5229
SAMEA110744443,GCA_025823425.1,blaOXA-181,Contig,Animal,Unknown,Unknown,Unknown,1494
SAMEA110744444,GCA_025823685.1,blaOXA-181,Contig,Animal,Unknown,Unknown,Unknown,5229
SAMEA110744445,GCA_025823665.1,blaOXA-181,Contig,Animal,Unknown,Unknown,Unknown,5229
SAMEA110744446,GCA_025823405.1,blaOXA-181,Contig,Animal,Unknown,Unknown,Unknown,5229
SAMEA110744447,GCA_025859675.1,blaOXA-181,Contig,Human,Unknown,Unknown,Unknown,744
SAMEA110744448,GCA_025824525.1,blaOXA-181,Contig,Human,Unknown,Unknown,Unknown,5229
SAMEA110744449,GCA_025824505.1,blaOXA-181,Contig,Animal,Unknown,Unknown,Unknown,5229
SAMEA111331646,GCA_028474545.1,blaOXA-181,Contig,Human,Switzerland,Europe,2018,656
SAMEA111435687,GCA_025881505.1,blaOXA-48,Contig,Human,Norway,Europe,2015,167
SAMEA111435697,GCA_025881445.1,blaOXA-181,Contig,Human,Norway,Europe,2015,410
SAMEA111435712,GCA_025881105.1,blaOXA-48,Contig,Human,Norway,Europe,2015,38
SAMEA111435714,GCA_025881045.1,blaOXA-181,Contig,Human,Norway,Europe,2015,410
SAMEA111435722,GCA_025880965.1,blaOXA-48,Contig,Human,Norway,Europe,2016,38
SAMEA111435729,GCA_025880925.1,blaOXA-48,Contig,Human,Norway,Europe,2016,38
SAMEA111435733,GCA_025880745.1,blaOXA-181,Contig,Human,Norway,Europe,2016,354
SAMEA111435737,GCA_025880625.1,blaOXA-181,Contig,Human,Norway,Europe,2016,410
SAMEA111435740,GCA_025880565.1,blaOXA-48,Contig,Human,Norway,Europe,2016,38
SAMEA111435746,GCA_025880445.1,blaOXA-181,Contig,Human,Norway,Europe,2016,8346
SAMEA111435754,GCA_025880305.1,blaOXA-181,Contig,Human,Norway,Europe,2016,410
SAMEA111435756,GCA_025880325.1,blaOXA-48,Contig,Human,Norway,Europe,2017,12872
SAMEA111435760,GCA_025879725.1,blaOXA-48,Contig,Human,Norway,Europe,2017,38
SAMEA111435766,GCA_025880225.1,blaOXA-48,Contig,Human,Norway,Europe,2017,38
SAMEA111435768,GCA_025880105.1,blaOXA-48,Contig,Human,Norway,Europe,2017,167
SAMEA111435772,GCA_025879605.1,blaOXA-232,Contig,Human,Norway,Europe,2017,648
SAMEA111435773,GCA_025880065.1,blaOXA-181,Contig,Human,Norway,Europe,2017,1284
SAMEA111435774,GCA_025879585.1,blaOXA-48,Contig,Human,Norway,Europe,2017,940
SAMEA111435775,GCA_025880005.1,blaOXA-181,Contig,Human,Norway,Europe,2017,410
SAMEA111435776,GCA_025880025.1,blaOXA-181,Contig,Human,Norway,Europe,2017,410
SAMEA111435785,GCA_025879865.1,blaOXA-181,Contig,Human,Norway,Europe,2017,410
SAMEA111435791,GCA_025879825.1,blaOXA-48,Contig,Human,Norway,Europe,2017,38
SAMEA111435792,GCA_025879805.1,blaOXA-48,Contig,Human,Norway,Europe,2017,69
SAMEA111435793,GCA_025879785.1,blaOXA-48,Contig,Human,Norway,Europe,2017,38
SAMEA111435794,GCA_025879765.1,blaOXA-48,Contig,Human,Norway,Europe,2017,38
SAMEA111435796,GCA_025879465.1,blaOXA-48,Contig,Human,Norway,Europe,2017,10
SAMEA111435800,GCA_025879385.1,blaOXA-181,Contig,Human,Norway,Europe,2018,38
SAMEA111435817,GCA_025878885.1,blaOXA-48,Contig,Human,Norway,Europe,2018,648
SAMEA111435818,GCA_025878865.1,blaOXA-181,Contig,Human,Norway,Europe,2018,205
SAMEA111435821,GCA_025879065.1,blaOXA-48,Contig,Human,Norway,Europe,2018,38
SAMEA111435822,GCA_025878905.1,blaOXA-181,Contig,Human,Norway,Europe,2018,361
SAMEA111435824,GCA_025879035.1,blaOXA-244,Contig,Human,Norway,Europe,2018,131
SAMEA111435829,GCA_025878765.1,blaOXA-244,Contig,Human,Norway,Europe,2018,38
SAMEA111435832,GCA_025878725.1,blaOXA-232,Contig,Human,Norway,Europe,2018,131
SAMEA111435835,GCA_025878645.1,blaOXA-48,Contig,Human,Norway,Europe,2018,2852
SAMEA111435838,GCA_025879005.1,blaOXA-181,Contig,Human,Norway,Europe,2018,410
SAMEA111435840,GCA_025878605.1,blaOXA-181,Contig,Human,Norway,Europe,2018,410
SAMEA111435844,GCA_025878545.1,blaOXA-181,Contig,Human,Norway,Europe,2018,540
SAMEA111435848,GCA_025878505.1,blaOXA-181,Contig,Human,Norway,Europe,2018,517
SAMEA111435851,GCA_025878405.1,blaOXA-244,Contig,Human,Norway,Europe,2018,38
SAMEA111435854,GCA_025878425.1,blaOXA-48,Contig,Human,Norway,Europe,2018,405
SAMEA111435855,GCA_025878365.1,blaOXA-181,Contig,Human,Norway,Europe,2018,940
SAMEA111435856,GCA_025878385.1,blaOXA-244,Contig,Human,Norway,Europe,2018,38
SAMEA111435859,GCA_025878285.1,blaOXA-181,Contig,Human,Norway,Europe,2019,410
SAMEA111435865,GCA_025878185.1,blaOXA-181,Contig,Human,Norway,Europe,2019,410
SAMEA111435871,GCA_025878045.1,blaOXA-48,Contig,Human,Norway,Europe,2019,167
SAMEA111435873,GCA_025878065.1,blaOXA-48,Contig,Human,Norway,Europe,2019,131
SAMEA111435875,GCA_025878005.1,blaOXA-48,Contig,Human,Norway,Europe,2019,38
SAMEA111435881,GCA_025877845.1,blaOXA-181,Contig,Human,Norway,Europe,2019,940
SAMEA111435882,GCA_025877905.1,blaOXA-181,Contig,Human,Norway,Europe,2019,410
SAMEA111435889,GCA_025877725.1,blaOXA-244,Contig,Human,Norway,Europe,2019,227
SAMEA111435890,GCA_025877705.1,blaOXA-48,Contig,Human,Norway,Europe,2019,227
SAMEA111435892,GCA_025877625.1,blaOXA-232,Contig,Human,Norway,Europe,2019,46
SAMEA111435893,GCA_025877635.1,blaOXA-181,Contig,Human,Norway,Europe,2019,648
SAMEA111435900,GCA_025877565.1,blaOXA-244,Contig,Human,Norway,Europe,2019,38
SAMEA111435905,GCA_025877925.1,blaOXA-181,Contig,Human,Norway,Europe,2019,46
SAMEA111435908,GCA_025877365.1,blaOXA-48,Contig,Human,Norway,Europe,2019,1652
SAMEA111435911,GCA_025877325.1,blaOXA-181,Contig,Human,Norway,Europe,2019,1284
SAMEA111435914,GCA_025877245.1,blaOXA-181,Contig,Human,Norway,Europe,2019,410
SAMEA111435922,GCA_025877085.1,blaOXA-244,Contig,Human,Norway,Europe,2019,38
SAMEA111435943,GCA_025876665.1,blaOXA-244,Contig,Human,Norway,Europe,2019,38
SAMEA111435944,GCA_025876645.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111435953,GCA_025876505.1,blaOXA-244,Contig,Human,Norway,Europe,2020,69
SAMEA111435958,GCA_025876425.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111435959,GCA_025876445.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111435961,GCA_025876385.1,blaOXA-181,Contig,Human,Norway,Europe,2020,90
SAMEA111435962,GCA_025876345.1,blaOXA-181,Contig,Human,Norway,Europe,2020,205
SAMEA111435964,GCA_025876325.1,blaOXA-48,Contig,Human,Norway,Europe,2020,297
SAMEA111435969,GCA_025876305.1,blaOXA-244,Contig,Human,Norway,Europe,2020,617
SAMEA111435971,GCA_025876205.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111435972,GCA_025876185.1,blaOXA-48,Contig,Human,Norway,Europe,2020,38
SAMEA111435987,GCA_025876165.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111435990,GCA_025876105.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111435992,GCA_025876085.1,blaOXA-181,Contig,Human,Norway,Europe,2020,131
SAMEA111435993,GCA_025876045.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111435994,GCA_025875825.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111435995,GCA_025876065.1,blaOXA-244,Contig,Human,Norway,Europe,2020,69
SAMEA111435996,GCA_025876025.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111436000,GCA_025875945.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111436001,GCA_025875865.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111436006,GCA_025875765.1,blaOXA-244,Contig,Human,Norway,Europe,2020,38
SAMEA111436009,GCA_025875665.1,blaOXA-48,Contig,Human,Norway,Europe,2021,38
SAMEA111436018,GCA_025875525.1,blaOXA-181,Contig,Human,Norway,Europe,2021,205
SAMEA111436023,GCA_025875445.1,blaOXA-181,Contig,Human,Norway,Europe,2021,2851
SAMEA111436024,GCA_025875425.1,blaOXA-48,Contig,Human,Norway,Europe,2021,12878
SAMEA111436028,GCA_025875345.1,blaOXA-48,Contig,Human,Norway,Europe,2021,38
SAMEA111436029,GCA_025875325.1,blaOXA-181,Contig,Human,Norway,Europe,2021,372
SAMEA111436030,GCA_025875305.1,blaOXA-244,Contig,Human,Norway,Europe,2021,38
SAMEA111436036,GCA_025875165.1,blaOXA-181,Contig,Human,Norway,Europe,2021,410
SAMEA111436038,GCA_025875145.1,blaOXA-48,Contig,Human,Norway,Europe,2021,131
SAMEA111436039,GCA_025875205.1,blaOXA-181,Contig,Human,Norway,Europe,2021,5342
SAMEA111436043,GCA_025875065.1,blaOXA-48,Contig,Human,Norway,Europe,2021,354
SAMEA111436044,GCA_025875125.1,blaOXA-181,Contig,Human,Norway,Europe,2021,410
SAMEA111436048,GCA_025875005.1,blaOXA-48,Contig,Human,Norway,Europe,2021,155
SAMEA111436050,GCA_025874945.1,blaOXA-48,Contig,Human,Norway,Europe,2021,11672
SAMEA111436051,GCA_025874885.1,blaOXA-244,Contig,Human,Norway,Europe,2021,69
SAMEA111436052,GCA_025874905.1,blaOXA-181,Contig,Human,Norway,Europe,2021,2083
SAMEA111436053,GCA_025874925.1,blaOXA-244,Contig,Human,Norway,Europe,2021,131
SAMEA111436054,GCA_025874865.1,blaOXA-244,Contig,Human,Norway,Europe,2021,10
SAMEA111436062,GCA_025874705.1,blaOXA-244,Contig,Human,Norway,Europe,2021,69
SAMEA111436067,GCA_025874625.1,blaOXA-244,Contig,Human,Norway,Europe,2021,1193
SAMEA111436068,GCA_025874605.1,blaOXA-48,Contig,Human,Norway,Europe,2021,1140
SAMEA111504591,GCA_026335115.1,blaOXA-181,Contig,Human,Ghana,Africa,2020,410
SAMEA11198331,GCA_024372195.1,blaOXA-181,Contig,Human,Viet Nam,Asia,2020,2705
SAMEA112938258,GCA_032310715.1,blaOXA-181,Contig,Human,France,Europe,2022,156
SAMEA112938267,GCA_032310635.1,blaOXA-181,Contig,Human,France,Europe,2021,2851
SAMEA112938288,GCA_031782755.1,blaOXA-244,Contig,Human,Finland,Europe,2019,361
SAMEA112938303,GCA_032310215.1,blaOXA-181,Contig,Human,Finland,Europe,2016,167
SAMEA112938310,GCA_031586915.1,blaOXA-244,Contig,Human,Austria,Europe,2021,617
SAMEA112938312,GCA_032303235.1,blaOXA-181,Contig,Human,Austria,Europe,2022,156
SAMEA112938317,GCA_031782535.1,blaOXA-181,Contig,Human,Denmark,Europe,2021,46
SAMEA112938326,GCA_032310075.1,blaOXA-181,Contig,Human,Denmark,Europe,2021,167
SAMEA112938327,GCA_033199775.1,blaOXA-181,Contig,Human,Denmark,Europe,2017,448
SAMEA112938347,GCA_032309375.1,blaOXA-181,Contig,Human,Denmark,Europe,2018,410
SAMEA112938349,GCA_031782375.1,blaOXA-181,Contig,Human,Denmark,Europe,2021,167
SAMEA112938352,GCA_031782335.1,blaOXA-232,Contig,Human,Denmark,Europe,2020,410
SAMEA112938362,GCA_032309255.1,blaOXA-181,Contig,Human,Denmark,Europe,2017,405
SAMEA112938366,GCA_032309155.1,blaOXA-181,Contig,Human,Denmark,Europe,2020,410
SAMEA112938376,GCA_032317375.1,blaOXA-232,Contig,Human,Denmark,Europe,2020,2851
SAMEA112938393,GCA_032308995.1,blaOXA-181,Contig,Human,France,Europe,2021,2851
SAMEA112938420,GCA_032308795.1,blaOXA-181,Contig,Human,France,Europe,2018,167
SAMEA112941390,GCA_032308595.1,blaOXA-244,Contig,Human,France,Europe,2019,361
SAMEA112941391,GCA_032308555.1,blaOXA-181,Contig,Human,France,Europe,2019,2659
SAMEA112941393,GCA_032308575.1,blaOXA-181,Contig,Human,France,Europe,2019,410
SAMEA112941399,GCA_032308495.1,blaOXA-181,Contig,Human,France,Europe,2019,410
SAMEA112941403,GCA_032308435.1,blaOXA-181,Contig,Human,France,Europe,2020,Unknown
SAMEA112941418,GCA_032308215.1,blaOXA-181,Contig,Human,France,Europe,2020,2851
SAMEA112941419,GCA_032308195.1,blaOXA-181,Contig,Human,France,Europe,2020,2851
SAMEA112941439,GCA_032307935.1,blaOXA-181,Contig,Human,France,Europe,2022,410
SAMEA112941441,GCA_031781085.1,blaOXA-48,Contig,Human,France,Europe,2020,410
SAMEA112941451,GCA_031780985.1,blaOXA-181,Contig,Human,France,Europe,2020,2851
SAMEA112941454,GCA_032307675.1,blaOXA-181,Contig,Human,France,Europe,2020,2851
SAMEA112941470,GCA_032307395.1,blaOXA-181,Contig,Human,France,Europe,2021,361
SAMEA112941472,GCA_031780865.1,blaOXA-181,Contig,Human,France,Europe,2018,410
SAMEA112941500,GCA_032307135.1,blaOXA-181,Contig,Human,France,Europe,2019,410
SAMEA112941534,GCA_032306675.1,blaOXA-181,Contig,Human,France,Europe,2021,156
SAMEA112941847,GCA_032305695.1,blaOXA-181,Contig,Human,France,Europe,2022,2851
SAMEA112941865,GCA_031779965.1,blaOXA-48,Contig,Human,France,Europe,2018,361
SAMEA112941868,GCA_031779845.1,blaOXA-181,Contig,Human,France,Europe,2021,410
SAMEA112941900,GCA_032305035.1,blaOXA-181,Contig,Human,France,Europe,2018,156
SAMEA112941912,GCA_032304945.1,blaOXA-181,Contig,Human,France,Europe,2019,448
SAMEA112953610,GCA_032304775.1,blaOXA-181,Contig,Human,Ireland,Europe,2020,1163
SAMEA112953617,GCA_032304695.1,blaOXA-181,Contig,Human,Ireland,Europe,2019,2851
SAMEA112953628,GCA_032304535.1,blaOXA-244,Contig,Human,Ireland,Europe,2018,10
SAMEA112953629,GCA_032304555.1,blaOXA-48,Contig,Human,Ireland,Europe,2021,2851
SAMEA112953643,GCA_032304315.1,blaOXA-181,Contig,Human,Ireland,Europe,2019,8346
SAMEA112953654,GCA_031779245.1,blaOXA-181,Contig,Human,Ireland,Europe,2021,2851
SAMEA112953659,GCA_033199455.1,blaOXA-181,Contig,Human,Ireland,Europe,2022,100
SAMEA112953691,GCA_032304015.1,blaOXA-181,Contig,Human,Netherlands,Europe,2020,1702
SAMEA114025628,GCA_958312735.1,blaOXA-181,Contig,Human,France,Europe,2019,12882
SAMEA114494571,GCA_033551175.1,blaOXA-48,Contig,Animal,France,Europe,2017,1485
SAMEA12940733,GCA_024514835.1,blaOXA-48,Contig,Human,Spain,Europe,2019,999
SAMEA12940734,GCA_024493715.1,blaOXA-48,Contig,Human,Spain,Europe,2019,156
SAMEA12940735,GCA_024490455.1,blaOXA-48,Contig,Human,Spain,Europe,2019,1011
SAMEA12940736,GCA_024490415.1,blaOXA-48,Contig,Human,Spain,Europe,2019,131
SAMEA12940737,GCA_024491815.1,blaOXA-48,Contig,Human,Spain,Europe,2019,131
SAMEA12940738,GCA_024490395.1,blaOXA-48,Contig,Human,Spain,Europe,2019,4197
SAMEA12940739,GCA_024493315.1,blaOXA-48,Contig,Human,Spain,Europe,2019,349
SAMEA12940740,GCA_024491855.1,blaOXA-48,Contig,Human,Spain,Europe,2019,106
SAMEA12940741,GCA_024514975.1,blaOXA-48,Contig,Human,Spain,Europe,2019,131
SAMEA12940742,GCA_024492315.1,blaOXA-48,Contig,Human,Spain,Europe,2019,10
SAMEA12940744,GCA_024491835.1,blaOXA-48,Contig,Human,Spain,Europe,2019,127
SAMEA12940750,GCA_024491415.1,blaOXA-48,Contig,Human,Spain,Europe,2019,744
SAMEA12940751,GCA_024736545.1,blaOXA-48,Contig,Human,Spain,Europe,2019,410
SAMEA12940754,GCA_024492335.1,blaOXA-48,Contig,Human,Spain,Europe,2019,538
SAMEA12940755,GCA_024514955.1,blaOXA-48,Contig,Human,Spain,Europe,2019,1193
SAMEA12940758,GCA_024493375.1,blaOXA-48,Contig,Human,Spain,Europe,2019,472
SAMEA12944396,GCA_025045095.1,blaOXA-48,Contig,Human,France,Europe,2014,636
SAMEA14516153,GCA_025368775.1,blaOXA-181,Contig,Human,Norway,Europe,2014,410
SAMEA19195918,GCA_900174635.1,blaOXA-48,Complete Genome,Human,France,Europe,2016,1288
SAMEA3357475,GCA_904863305.1,blaOXA-48,Complete Genome,Human,Australia,Oceania,2014,38
SAMEA3500012,GCA_013026785.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,641
SAMEA3500016,GCA_013029805.1,blaOXA-204,Contig,Unknown,Unknown,Unknown,Unknown,90
SAMEA3500017,GCA_013024925.1,blaOXA-204,Contig,Unknown,Unknown,Unknown,Unknown,90
SAMEA3500043,GCA_013026725.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,636
SAMEA3500066,GCA_013029785.1,blaOXA-244,Contig,Unknown,Unknown,Unknown,Unknown,Unknown
SAMEA3512095,GCA_013026025.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,38
SAMEA3512105,GCA_013025905.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,127
SAMEA3538425,GCA_013025775.1,blaOXA-181,Contig,Unknown,Unknown,Unknown,Unknown,410
SAMEA3538445,GCA_013026525.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,405
SAMEA3538448,GCA_013026465.1,blaOXA-244,Contig,Unknown,Unknown,Unknown,Unknown,Unknown
SAMEA3538872,GCA_013025465.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,1431
SAMEA3538880,GCA_013025325.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,999
SAMEA3538884,GCA_013025205.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,1882
SAMEA3538894,GCA_013025185.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,410
SAMEA3672982,GCA_013018625.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,10
SAMEA3673110,GCA_013017485.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,949
